species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,38.77,18.7,195.67,3750.0,Male
Adelie,Biscoe,39.5,17.4,186.0,3510.0,Female
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female
Adelie,Dream,38.33,19.3,193.0,3450.0,Female
Adelie,Torgersen,38.31,20.6,190.0,3650.0,Male
Adelie,Torgersen,37.02,17.8,181.0,3420.0,Female
Adelie,Dream,39.2,18.3,195.0,4675.0,Male
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Female
Adelie,Torgersen,42.0,20.2,190.0,3870.0,Male
Adelie,Biscoe,37.8,17.1,186.0,3310.0,Female
Adelie,Dream,37.77,17.3,180.0,3700.0,Female
Adelie,Biscoe,41.1,18.3,182.0,3200.0,Female
Adelie,Biscoe,38.6,21.2,191.0,3800.0,Female
Adelie,Torgersen,34.6,21.1,191.33,4400.0,Male
Adelie,Torgersen,36.6,17.8,186.33,3700.0,Female
Adelie,Dream,36.94,18.3,195.0,3450.0,Female
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female
Adelie,Torgersen,46.0,21.5,194.67,4200.0,Male
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Male
Adelie,Biscoe,37.7,18.7,180.0,3400.0,Male
Adelie,Biscoe,35.9,19.2,190.0,3800.0,Male
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
Adelie,Biscoe,38.8,18.3,180.0,3800.0,Male
Adelie,Biscoe,38.69,18.9,187.0,3800.0,Male
Adelie,Dream,40.6,18.6,183.0,3550.0,Male
Adelie,Dream,40.5,18.3,187.0,3200.0,Female
Adelie,Biscoe,37.9,18.3,184.33,3590.0,Female
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male
Adelie,Dream,39.5,16.7,178.0,3250.0,Female
Adelie,Dream,37.2,18.1,178.0,3205.0,Male
Adelie,Dream,39.5,17.8,188.0,3300.0,Female
Adelie,Dream,40.9,18.9,184.0,3520.0,Male
Adelie,Dream,36.4,17.0,195.0,3975.0,Female
Adelie,Biscoe,39.2,21.1,188.0,4150.0,Male
Adelie,Dream,39.02,20.0,190.0,3950.0,Male
Adelie,Dream,42.2,18.5,180.0,3550.0,Male
Adelie,Dream,39.8,19.1,189.33,4650.0,Male
Adelie,Dream,36.5,18.3,186.67,3500.0,Female
Adelie,Dream,40.8,18.3,195.0,3900.0,Male
Adelie,Dream,36.0,18.3,186.0,3100.0,Female
Adelie,Dream,44.1,18.3,196.0,4400.0,Male
Adelie,Dream,37.0,16.9,185.0,3495.0,Female
Adelie,Dream,41.44,18.8,196.0,4600.0,Male
Adelie,Dream,37.71,19.0,182.0,3425.0,Male
Adelie,Dream,37.5,18.9,191.33,2975.0,Female
Adelie,Dream,36.74,17.9,190.0,3450.0,Female
Adelie,Dream,42.3,18.3,191.0,4150.0,Male
Adelie,Biscoe,40.1,18.3,192.67,4300.0,Male
Adelie,Biscoe,35.0,18.3,192.67,3450.0,Female
Adelie,Dream,38.37,18.3,200.0,3830.0,Male
Adelie,Biscoe,38.21,18.3,187.0,2900.0,Female
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female
Adelie,Biscoe,37.48,18.3,193.0,3800.0,Male
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female
Adelie,Biscoe,37.6,18.3,192.0,3750.0,Male
Adelie,Dream,39.09,16.9,185.0,3150.0,Female
Adelie,Biscoe,41.3,18.3,195.67,4400.0,Male
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male
Adelie,Dream,36.4,17.1,184.0,3455.0,Female
Adelie,Dream,39.43,18.0,192.0,3950.0,Male
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male
Adelie,Torgersen,38.06,18.3,190.0,3710.0,Female
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female
Adelie,Torgersen,39.7,18.3,187.0,3900.0,Male
Adelie,Dream,39.6,17.2,196.0,3550.0,Male
Adelie,Dream,45.8,18.9,197.0,4150.0,Male
Adelie,Torgersen,35.5,17.5,187.67,3700.0,Female
Adelie,Dream,41.74,18.5,195.0,4250.0,Male
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female
Adelie,Dream,38.77,19.4,184.0,3900.0,Male
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male
Adelie,Torgersen,39.61,18.3,183.33,3200.0,Female
Adelie,Torgersen,41.34,17.6,196.0,4700.0,Male
