species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,?,18.7,?,3750.0,Male
?,?,39.5,17.4,186.0,?,Female
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female
Adelie,?,?,?,?,?,?
Adelie,?,?,19.3,193.0,3450.0,?
Adelie,?,?,20.6,190.0,3650.0,Male
Adelie,?,?,17.8,181.0,?,Female
?,?,39.2,?,195.0,4675.0,Male
?,Torgersen,34.1,18.1,193.0,3475.0,?
Adelie,Torgersen,42.0,20.2,190.0,?,?
Adelie,?,37.8,17.1,186.0,?,?
Adelie,?,?,17.3,180.0,3700.0,?
Adelie,?,41.1,?,182.0,3200.0,?
?,?,38.6,21.2,191.0,3800.0,?
?,Torgersen,34.6,21.1,?,4400.0,?
Adelie,Torgersen,36.6,17.8,?,3700.0,?
Adelie,?,?,?,195.0,3450.0,Female
?,Torgersen,42.5,20.7,197.0,4500.0,Male
Adelie,Torgersen,34.4,18.4,184.0,3325.0,?
Adelie,Torgersen,46.0,21.5,?,4200.0,Male
?,Biscoe,37.8,18.3,174.0,3400.0,?
Adelie,Biscoe,37.7,18.7,180.0,?,Male
Adelie,?,35.9,19.2,?,3800.0,?
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male
?,Biscoe,38.8,?,180.0,3800.0,?
Adelie,Biscoe,?,18.9,187.0,3800.0,?
?,?,40.6,18.6,183.0,3550.0,Male
Adelie,?,40.5,?,187.0,3200.0,?
Adelie,Biscoe,37.9,?,?,?,Female
Adelie,Biscoe,40.5,18.9,180.0,3950.0,?
Adelie,Dream,39.5,16.7,178.0,3250.0,Female
Adelie,Dream,37.2,18.1,178.0,?,Male
?,Dream,39.5,17.8,188.0,3300.0,?
?,Dream,40.9,18.9,184.0,?,?
?,Dream,36.4,17.0,195.0,?,Female
Adelie,?,39.2,21.1,?,4150.0,?
Adelie,Dream,?,20.0,190.0,3950.0,Male
Adelie,Dream,42.2,18.5,180.0,3550.0,?
?,Dream,?,19.3,?,?,?
Adelie,?,39.8,19.1,?,4650.0,Male
Adelie,Dream,36.5,?,?,?,Female
?,Dream,40.8,?,195.0,3900.0,Male
Adelie,Dream,36.0,?,186.0,3100.0,Female
Adelie,Dream,44.1,?,196.0,4400.0,Male
Adelie,Dream,37.0,16.9,185.0,?,Female
Adelie,?,?,18.8,?,4600.0,Male
?,Dream,?,19.0,182.0,3425.0,Male
Adelie,Dream,37.5,18.9,?,2975.0,?
Adelie,Dream,?,17.9,190.0,3450.0,?
Adelie,Dream,42.3,?,191.0,4150.0,Male
?,Biscoe,?,?,?,?,Female
Adelie,Biscoe,40.1,?,?,4300.0,Male
Adelie,?,35.0,?,?,3450.0,?
Adelie,?,?,?,200.0,?,Male
Adelie,Biscoe,?,?,187.0,2900.0,?
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male
Adelie,Biscoe,39.0,17.5,186.0,3550.0,?
Adelie,Biscoe,?,?,193.0,3800.0,?
Adelie,Biscoe,36.5,16.6,181.0,2850.0,?
?,Biscoe,37.6,?,?,3750.0,Male
Adelie,?,?,16.9,185.0,3150.0,Female
?,Biscoe,41.3,?,?,4400.0,Male
?,Biscoe,?,17.0,?,?,Female
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male
?,?,36.4,17.1,184.0,?,Female
Adelie,?,?,18.0,192.0,3950.0,Male
?,Biscoe,35.5,16.2,195.0,3350.0,?
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male
?,Torgersen,?,?,190.0,?,Female
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female
Adelie,Torgersen,39.7,?,?,3900.0,Male
?,?,39.6,17.2,196.0,3550.0,?
Adelie,?,45.8,18.9,197.0,4150.0,Male
Adelie,Torgersen,35.5,17.5,?,3700.0,Female
?,?,?,18.5,195.0,4250.0,?
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female
Adelie,?,?,19.4,184.0,3900.0,Male
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male
Adelie,Torgersen,?,?,?,3200.0,Female
Adelie,Torgersen,?,17.6,196.0,4700.0,?
?,Torgersen,36.7,18.8,187.0,3800.0,Female
?,Torgersen,35.1,19.4,193.0,4200.0,Male
Adelie,Dream,37.3,17.8,191.0,?,Female
?,?,41.3,?,194.0,3550.0,Male
Adelie,Dream,36.3,19.5,190.0,3800.0,?
Adelie,Dream,36.9,18.6,?,3500.0,Female
Adelie,Dream,38.3,?,?,3950.0,Male
Adelie,Dream,?,18.8,?,?,Female
Adelie,?,35.7,18.0,202.0,3550.0,Female
Adelie,?,41.1,18.1,205.0,4300.0,?
Adelie,Dream,34.0,17.1,185.0,3400.0,Female
Adelie,Dream,39.6,18.1,186.0,?,?
Adelie,Dream,?,17.3,187.0,3300.0,?
